Time,Longitude,Latitude,Altitude,Heading,uBody
63.6417,-71.01770196,42.37412474,25.49192728,132.9900533,42.2858963
64.6,-71.01757449,42.37403659,25.43667153,133.0438342,56.63731766
65.625,-71.01739553,42.37391252,25.35800042,133.1278455,71.26623535
66.6,-71.01719063,42.37377001,25.28876448,133.2345194,84.26707458
67.6667,-71.01693331,42.37359023,25.20481473,133.3842098,97.52251434
68.6167,-71.01666734,42.37340326,25.13530325,133.6506145,109.0167923
69.6417,-71.01635337,42.3731789,25.06526594,134.3916217,120.7376938
70.65,-71.01602205,42.37293461,25.0213818,135.3499792,131.6538391
71.6333,-71.01566534,42.37266315,24.98786272,136.1634001,142.1880493
72.6333,-71.01529651,42.37237526,24.98599596,136.7928294,152.0338287
73.625,-71.01490729,42.37206585,25.00218733,137.0919097,161.4884949
74.6583,-71.01447363,42.37172093,25.06154438,136.8489462,171.0278168
75.625,-71.01403955,42.37137945,25.14215384,136.5291431,179.6840057
76.6583,-71.01355394,42.37100133,25.24212276,136.2483677,188.5112457
77.625,-71.01305893,42.37062086,25.37744149,135.6935241,196.7251129
78.625,-71.01255461,42.37024241,25.52594444,134.8974109,204.3683472
79.65,-71.01199578,42.3698359,25.5880611,133.8961735,211.8071136
80.6167,-71.01142332,42.36943076,25.76716429,132.8261287,218.7759399
81.6583,-71.01081092,42.36900694,26.0005603,132.1017325,225.5215454
82.65,-71.01018767,42.36857984,27.80894246,131.8676209,231.8836823
83.6583,-71.00954013,42.36814005,32.604111,131.8914583,237.6988373
84.625,-71.00890832,42.36771517,41.19635558,131.5760948,242.5514221
85.6333,-71.00822731,42.36726359,55.52260113,130.863146,246.8683319
86.65,-71.00752448,42.3668072,76.12054532,130.0939984,250.349823
87.65,-71.00682441,42.36636442,102.3621775,129.3449452,252.8678436
88.6083,-71.00610537,42.36592345,134.6897663,128.4085673,254.5216064
89.6083,-71.00539268,42.36550184,171.2205552,127.2732259,255.3781586
90.6083,-71.00465043,42.36508101,213.4739822,125.9444399,255.6668701
91.625,-71.00389104,42.36467154,260.8632678,124.4787496,255.3899841
92.6333,-71.00311498,42.36427668,313.2239588,122.8254477,254.5792236
93.6583,-71.00232917,42.36390264,369.7319288,120.9630054,253.2982483
94.6333,-71.00155985,42.36356264,427.3797022,119.2518927,251.9990997
95.6167,-71.00078021,42.36324329,484.6253826,117.348319,250.6968689
96.6417,-70.99996198,42.36293569,542.3710722,115.2735261,249.5698853
97.6083,-70.99917207,42.36266511,595.5584015,113.2948681,248.7368164
98.6083,-70.9983291,42.36240312,649.5050963,111.2877282,248.1309204
99.7083,-70.99747465,42.36216275,701.4152379,109.5522933,247.7863922
100.633,-70.99662428,42.36194519,750.5958479,108.1531222,247.6791534
101.6,-70.99577249,42.36174541,797.6753129,106.964799,247.7783813
102.617,-70.99489842,42.36155585,843.7927301,106.0146309,248.2047272
103.642,-70.99401607,42.36137657,886.8767662,105.2864167,248.969696
104.625,-70.99313947,42.3612072,925.6121807,104.8569412,250.2555847
105.617,-70.9922457,42.36104012,959.9624142,104.6142987,252.0502472
106.658,-70.9913264,42.3608711,990.3546921,104.5840205,254.3723755
107.6,-70.99044975,42.36070989,1015.120537,104.7561071,256.9692078
108.625,-70.98952416,42.36053761,1037.345759,105.0331123,260.053833
109.617,-70.98855545,42.36035428,1056.94854,105.3331966,263.5671082
110.65,-70.98760521,42.36017231,1073.232744,105.4033153,267.205658
111.6,-70.98667371,42.35999368,1087.047146,105.2119266,270.869751
112.625,-70.98568753,42.35980669,1100.067176,104.8782377,274.7533875
113.625,-70.98467746,42.35961982,1112.414459,104.4238047,278.6500244
114.617,-70.98369352,42.35944444,1124.130001,103.8007686,282.3045349
115.633,-70.98263421,42.35926542,1137.035529,102.9297828,286.0255127
116.625,-70.98161046,42.35910448,1150.320441,101.931537,289.3674011
117.6,-70.98057182,42.35895541,1165.057881,100.8108464,292.4684753
118.608,-70.97948337,42.35881582,1182.305315,99.55422821,295.3661194
119.617,-70.97839984,42.35869405,1201.766125,98.32501956,297.8639221
120.608,-70.97730547,42.35858813,1224.180128,97.18854438,299.971283
121.625,-70.97619323,42.35849738,1250.193344,96.05735577,301.6777649
122.608,-70.97510232,42.35842436,1279.179922,94.9492532,302.9211426
123.625,-70.97397028,42.35836496,1313.133538,93.83190938,303.7612915
124.617,-70.97286425,42.35832293,1350.268274,92.74157214,304.1529846
125.625,-70.97173997,42.35829696,1392.066668,91.52816854,304.1375122
126.625,-70.97061799,42.35829078,1437.655183,89.97365846,303.7771301
127.633,-70.96950957,42.35830985,1486.085479,87.80491631,303.0523987
128.633,-70.96840949,42.35836355,1538.932511,84.77784477,301.9610596
129.633,-70.96732328,42.35846182,1596.009398,80.55484809,300.3265381
130.617,-70.96627757,42.35861381,1657.219649,75.94002395,298.3992004
131.625,-70.96523672,42.35883257,1723.226272,70.60237454,296.1502686
132.617,-70.96425308,42.35911347,1789.608593,64.99105312,293.8708496
133.633,-70.96329491,42.35947026,1857.19456,59.08606772,291.65625
134.642,-70.96240301,42.35989187,1921.6379,53.05145557,289.8022156
135.608,-70.96160972,42.36035715,1979.458128,47.14014199,288.4984436
136.6,-70.96085948,42.36089786,2034.143833,41.04580667,287.7156982
137.617,-70.96018161,42.36149935,2083.532575,35.03778444,287.5266113
138.617,-70.95958319,42.36215694,2127.65714,29.09606969,287.90448
139.65,-70.95908859,42.36283499,2165.802857,23.61779694,288.6603394
140.617,-70.95867351,42.36355283,2201.528553,18.53637867,289.5955505
141.617,-70.95833573,42.36430263,2237.256948,14.12622798,290.4270325
142.625,-70.95806671,42.36508252,2276.006217,10.52238794,290.868927
143.642,-70.95786018,42.36587159,2319.620735,7.781936757,290.6616211
144.608,-70.95770802,42.36662341,2367.212626,6.025763214,289.7089233
145.608,-70.9575813,42.36739042,2423.132325,5.21812408,287.9780884
146.608,-70.9574647,42.36816865,2486.570694,5.450416252,285.7372437
147.65,-70.95734415,42.36894322,2554.338611,6.457087525,282.9885559
148.633,-70.95721383,42.36967528,2622.08502,7.921165895,280.2034302
149.625,-70.9570577,42.37041507,2691.806903,9.75622172,277.3453674
150.633,-70.95687559,42.37113822,2759.699559,11.68042944,274.6844788
151.625,-70.95666251,42.3718569,2826.243411,13.69384968,272.2697754
152.625,-70.95642276,42.3725597,2889.936942,15.54244209,270.1729736
153.65,-70.95615722,42.37325338,2951.145852,17.07727097,268.3947144
154.608,-70.95587693,42.37392235,3008.282056,18.12602774,267.2104492
155.658,-70.95556441,42.3746222,3062.768865,18.79735166,266.9113159
156.625,-70.95524609,42.37530746,3106.119987,19.24715035,267.8735657
157.6,-70.95493371,42.37596453,3136.472245,19.58810998,270.0080261
158.658,-70.954579,42.37669976,3159.541861,19.80409081,273.3487854
159.642,-70.95424004,42.37739843,3174.816001,19.7263513,277.2492065
160.642,-70.95388815,42.37812683,3184.788471,19.45914064,281.7901001
161.658,-70.95353646,42.37886244,3189.910562,19.1083131,286.5748291
162.608,-70.95319749,42.37957986,3193.13,18.86867933,290.895813
163.642,-70.95282356,42.3803787,3199.878718,18.80366617,295.2465515
164.642,-70.95246993,42.3811367,3210.393888,18.84620288,298.7009583
165.6,-70.95210882,42.38190839,3225.916111,18.97100751,301.5288086
166.65,-70.9517297,42.38271098,3247.819321,19.23995475,303.7207031
167.6,-70.95137187,42.3834567,3273.877657,19.62924992,305.0691528
168.608,-70.95098718,42.38424074,3307.554424,20.16789571,305.7748108
169.617,-70.95057293,42.38505979,3349.900954,20.86759395,305.7884827
170.617,-70.95018089,42.38580839,3393.826673,21.49600721,305.6385498
171.617,-70.94975652,42.38659186,3439.625858,22.08762283,305.7410889
172.617,-70.9493335,42.38734973,3477.312357,22.54888258,306.6513367
173.625,-70.94887537,42.38815024,3504.663219,23.05503717,308.8232727
174.642,-70.94842205,42.38892472,3518.607327,23.51103426,312.1460571
175.608,-70.94795573,42.38970734,3520.760641,23.94218824,316.5478516
176.617,-70.9474816,42.39049307,3514.450318,24.16400717,321.4324646
177.6,-70.94698988,42.39130393,3505.528521,24.05506565,326.4954224
178.617,-70.9464838,42.39214166,3495.873413,23.86043087,331.5154724
179.633,-70.94597604,42.39298535,3486.527484,23.81656057,336.2254639
180.608,-70.94547443,42.39381079,3478.403653,24.28970485,340.4440918
181.608,-70.94492366,42.39468342,3471.094751,25.78299423,344.4646912
182.633,-70.94434508,42.39553127,3464.28046,28.69933474,347.9181213
183.6,-70.94372071,42.39633391,3458.587698,33.78004267,350.4178162
184.608,-70.94295819,42.39713524,3454.145516,41.69209624,352.1434631
185.617,-70.94207464,42.3978497,3445.819455,50.4044499,354.0853882
186.633,-70.94103062,42.39847982,3420.898378,59.74291335,357.3396912
187.642,-70.9398936,42.39897379,3368.365566,68.88195235,362.8398438
188.633,-70.93867608,42.39932714,3282.189624,78.14463143,370.7399902
189.625,-70.93739282,42.39952679,3166.880765,87.60547479,380.4687805
190.6,-70.93608366,42.39956401,3039.723332,96.26657129,390.3785095
191.6,-70.9347048,42.39944567,2914.406151,103.2896313,399.4499817
192.608,-70.93327529,42.39919189,2811.884042,107.8463033,406.2944336
193.608,-70.9318489,42.3988594,2750.509811,109.2407069,409.8997498
194.617,-70.93039517,42.3985041,2735.938125,107.52204,410.1855774
195.608,-70.92895653,42.39819809,2766.812349,103.191625,407.4954834
196.617,-70.92749843,42.39797797,2837.271724,97.59742682,402.144989
197.6,-70.92610701,42.39786306,2938.71937,92.59638963,394.4285583
198.6,-70.92473334,42.39782961,3075.454873,89.13111365,383.8488464
199.608,-70.92348259,42.39784853,3237.109427,87.67689124,371.4616089
200.617,-70.92229463,42.39788413,3421.8346,88.14156267,357.0831909
201.608,-70.92122297,42.39790719,3612.557909,90.18469082,341.9739685
202.625,-70.92021072,42.39790067,3809.513722,93.2343293,326.2332153
203.617,-70.91927887,42.39785911,3995.735265,96.30177409,311.2912903
204.608,-70.91836803,42.3977815,4172.13924,99.85790525,296.9592285
205.633,-70.91747177,42.3976642,4335.413199,103.5081701,283.7593079
206.617,-70.91662111,42.39751255,4477.514806,107.0210866,272.5317383
207.6,-70.91578991,42.39732531,4601.845722,110.3084225,263.1781616
208.633,-70.91494812,42.39709606,4711.366472,113.4511975,255.6718445
209.642,-70.91414122,42.39683915,4799.649195,116.2691764,250.5897369
210.617,-70.9133658,42.39655831,4868.250193,118.8166594,247.8430634
211.617,-70.91256029,42.39623157,4922.052567,121.3358244,247.3264771
212.625,-70.91178828,42.3958851,4956.593582,123.6303172,249.0913696
213.6,-70.91102147,42.39550887,4974.400812,125.7601478,252.9552307
214.617,-70.91023844,42.39509249,4976.041838,127.7054539,258.8814392
215.608,-70.90948791,42.39466446,4962.790456,129.3645888,266.179718
216.633,-70.90869671,42.39418473,4935.369162,131.2961254,274.8005371
217.642,-70.90791485,42.3936811,4901.848096,132.8967802,283.3127136
218.625,-70.90713927,42.39315625,4870.31292,133.6749983,291.255249
219.642,-70.90634467,42.39260434,4843.584935,133.6751349,298.4487915
220.633,-70.90553048,42.39203894,4823.953025,133.0092871,304.6701965
221.625,-70.90469024,42.39146986,4812.866487,131.7411395,309.8526917
222.633,-70.90381936,42.39090655,4811.237418,129.9488296,313.9560242
223.617,-70.90293074,42.39036674,4819.346369,127.8677802,316.9544983
224.625,-70.90197832,42.38983105,4838.050879,125.5125397,318.9941101
225.642,-70.90100256,42.38932818,4867.03932,123.0219113,319.9656372
226.608,-70.90002602,42.38886875,4905.338625,120.6568353,319.9213257
227.642,-70.89899711,42.38842789,4955.284653,118.3958241,318.8991699
228.625,-70.89798948,42.38803388,5012.113957,116.5676284,317.3070068
229.608,-70.89697433,42.3876691,5074.307095,114.6957331,315.1311035
230.633,-70.89592074,42.38732206,5143.739709,112.851582,312.4041443
231.625,-70.89488409,42.38700957,5216.531862,111.1760273,309.2936096
232.65,-70.89383249,42.38671852,5293.835432,109.9473241,306.0872192
233.625,-70.89279839,42.38645088,5366.939603,109.1844603,303.3585205
234.608,-70.8917767,42.38619786,5429.111518,108.7705576,301.7293091
235.633,-70.89071828,42.3859424,5476.190004,108.5290695,301.7852478
236.642,-70.88965362,42.38568879,5500.190547,108.2949306,304.2173157
237.642,-70.88856267,42.38543104,5499.831429,108.0987471,309.1083374
238.633,-70.88748118,42.38517683,5472.059009,107.9282245,316.3321838
239.625,-70.88637632,42.38491852,5410.098802,107.6917839,326.6758423
240.633,-70.88524144,42.38465521,5310.344096,107.350773,340.0880127
241.625,-70.88410819,42.38439525,5174.061727,106.9547587,355.9068909
242.6,-70.88300012,42.38414502,5004.729258,106.4698835,373.3730164
243.625,-70.88184661,42.38389029,4789.311792,105.7904027,393.3346252
244.6,-70.8807383,42.38365331,4542.944733,104.9684509,413.9781189
245.6,-70.87962155,42.3834233,4255.288297,104.6846087,436.0212402
246.617,-70.87848285,42.38318858,3931.364993,105.5591256,458.5732727
247.625,-70.87732613,42.38292938,3588.777209,107.8420412,480.0621338
248.6,-70.87616048,42.38262088,3248.351984,111.9316648,499.0621338
249.608,-70.87490559,42.38221068,2901.382449,116.6029268,516.4946899
250.608,-70.87357575,42.38167556,2559.760538,121.2895704,531.8811646
251.6,-70.87224682,42.38102998,2251.296004,126.3776242,543.6689453
252.608,-70.87084767,42.38021366,1980.480157,131.0359498,551.9278564
253.608,-70.86942291,42.37924538,1769.244027,134.2876526,556.87677
254.608,-70.86805507,42.3782129,1620.355682,136.6538487,558.3794556
255.608,-70.86669639,42.37710877,1527.268992,138.1784289,556.7285156
256.617,-70.86533472,42.37595937,1493.780638,138.3631035,551.8261719
257.617,-70.86396641,42.37482044,1521.311108,136.936236,543.8504028
258.617,-70.86261585,42.37377492,1601.675344,133.8797127,533.493103
259.625,-70.86121052,42.372817,1727.720233,129.4630255,520.9221191
260.6,-70.85983133,42.37202099,1880.639645,124.5216432,507.4354858
261.625,-70.8583381,42.37131104,2070.61965,119.0492547,491.823822
262.633,-70.85688459,42.37075452,2275.492327,114.1955173,475.7095642
263.617,-70.85546153,42.37031488,2487.413358,112.0139139,459.3749084
264.608,-70.85407454,42.36992952,2680.611986,111.4140867,444.3121033
265.608,-70.85266778,42.36954822,2848.037811,112.0478053,430.8598022
266.625,-70.85123724,42.3691461,2977.386096,113.178912,420.2661133
267.617,-70.84983139,42.3687289,3060.093361,114.0675537,413.6112366
268.608,-70.84845317,42.36829997,3098.633684,114.9034801,410.5811157
269.6,-70.84707065,42.3678512,3094.540984,115.4317816,410.9855957
270.608,-70.84567471,42.36738379,3045.542786,115.3183595,414.8491516
271.608,-70.8442902,42.36691425,2950.491085,114.6517467,421.973999
272.608,-70.8429384,42.3664591,2814.788519,113.8192969,431.9173584
273.617,-70.8415543,42.36599265,2643.895441,114.4502424,443.5137634
274.608,-70.84020788,42.36551214,2455.725949,117.0182023,455.2520752
275.608,-70.83887237,42.36497059,2247.705525,121.4585356,467.1915283
276.608,-70.83759911,42.364354,2021.740273,126.4591083,479.3995667
277.617,-70.83637887,42.36364098,1770.069568,131.3405216,492.0368347
278.617,-70.83524557,42.36284435,1505.267935,136.3675135,504.6848145
279.608,-70.83419384,42.36193313,1253.900945,144.7040462,512.6359253
280.6,-70.83318724,42.36085903,1072.785114,146.0867088,516.0142212
281.6,-70.83212079,42.35971463,983.4155593,142.4893711,514.1691284
282.617,-70.83088164,42.35861273,982.1591999,133.8084192,507.5890198
283.625,-70.82948081,42.35772122,1038.423026,122.7670359,498.9527588
284.6,-70.82795924,42.3570523,1102.322814,119.6059697,491.2669373
285.608,-70.82634725,42.35643284,1138.543072,119.1720751,484.9927063
286.6,-70.82475849,42.35584954,1139.711318,117.8930676,481.7310791
287.625,-70.82311262,42.35527387,1107.158722,116.6967463,480.5630493
288.6,-70.82154249,42.35475336,1045.04187,115.2976776,481.6747131
289.617,-70.81988454,42.35423714,949.8124931,113.5815653,484.7212219
290.608,-70.8182845,42.35377059,834.6253403,111.501561,489.0189514
291.617,-70.8165998,42.35332739,711.3406757,106.6121086,492.1535645
292.625,-70.81487645,42.35293482,654.2676599,106.8364871,489.4515076
293.6,-70.81321924,42.35252027,678.3912765,111.9929726,481.6631165
294.608,-70.81163746,42.35198091,769.1346436,121.5435031,469.3981934
295.6,-70.81028344,42.35128836,893.9267243,134.0676112,455.2745972
296.625,-70.80917552,42.35041397,1019.86552,147.1537619,441.8717957
